N029.21.25.975 E034.57.43.049 N029.11.02.967 E036.04.20.138
N029.11.02.967 E036.04.20.138 N029.30.02.988 E036.30.21.170
N029.30.02.988 E036.30.21.170 N029.52.03.009 E036.45.21.187
N029.52.03.009 E036.45.21.187 N030.00.03.018 E037.30.21.245
N030.00.03.018 E037.30.21.245 N030.20.03.034 E037.40.21.255
N030.20.03.034 E037.40.21.255 N030.30.03.042 E038.00.21.282
N030.30.03.042 E038.00.21.282 N031.30.03.084 E037.00.21.192
N031.30.03.084 E037.00.21.192 N031.54.23.999 E038.36.47.999
N031.54.23.999 E038.36.47.999 N032.00.02.120 E039.00.21.349
N032.00.02.120 E039.00.21.349 N032.09.11.130 E039.12.06.366
N032.09.11.130 E039.12.06.366 N032.09.38.160 E039.12.33.478
N032.09.38.160 E039.12.33.478 N032.10.23.520 E039.13.33.598
N032.10.23.520 E039.13.33.598 N032.11.09.239 E039.14.33.718
N032.11.09.239 E039.14.33.718 N032.11.54.958 E039.15.33.838
N032.11.54.958 E039.15.33.838 N032.12.40.319 E039.16.33.958
N032.12.40.319 E039.16.33.958 N032.13.26.040 E039.17.34.078
N032.13.26.040 E039.17.34.078 N032.14.21.119 E039.17.53.520
N032.14.21.119 E039.17.53.520 N032.15.25.560 E039.17.32.640
N032.15.25.560 E039.17.32.640 N032.16.29.998 E039.17.11.399
N032.16.29.998 E039.17.11.399 N032.17.34.440 E039.16.50.158
N032.17.34.440 E039.16.50.158 N032.18.38.880 E039.16.28.920
N032.18.38.880 E039.16.28.920 N032.19.43.319 E039.16.07.678
N032.19.43.319 E039.16.07.678 N032.20.47.760 E039.15.46.440
N032.20.47.760 E039.15.46.440 N032.21.11.159 E039.14.58.919
N032.21.11.159 E039.14.58.919 N032.20.53.518 E039.13.45.118
N032.20.53.518 E039.13.45.118 N032.20.35.878 E039.12.31.320
N032.20.35.878 E039.12.31.320 N032.20.18.240 E039.11.17.520
N032.20.18.240 E039.11.17.520 N032.20.00.600 E039.10.03.720
N032.20.00.600 E039.10.03.720 N032.19.43.319 E039.08.49.919
N032.19.43.319 E039.08.49.919 N032.19.25.678 E039.07.36.118
N032.19.25.678 E039.07.36.118 N032.19.08.038 E039.06.22.320
N032.19.08.038 E039.06.22.320 N032.18.50.400 E039.05.08.158
N032.18.50.400 E039.05.08.158 N032.18.32.760 E039.03.54.360
N032.18.32.760 E039.03.54.360 N032.18.14.758 E039.02.37.320
N032.18.14.758 E039.02.37.320 N032.19.17.039 E039.02.16.440
N032.19.17.039 E039.02.16.440 N032.20.19.678 E039.01.55.558
N032.20.19.678 E039.01.55.558 N032.21.21.959 E039.01.35.040
N032.21.21.959 E039.01.35.040 N032.22.24.598 E039.01.14.160
N032.22.24.598 E039.01.14.160 N032.23.27.240 E039.00.53.639
N032.23.27.240 E039.00.53.639 N032.24.29.520 E039.00.32.759
N032.24.29.520 E039.00.32.759 N032.25.32.160 E039.00.11.880
N032.25.32.160 E039.00.11.880 N032.26.34.440 E038.59.51.358
N032.26.34.440 E038.59.51.358 N032.27.37.079 E038.59.30.479
N032.27.37.079 E038.59.30.479 N032.28.39.718 E038.59.09.599
N032.28.39.718 E038.59.09.599 N032.28.58.799 E039.00.29.520
N032.28.58.799 E039.00.29.520 N032.29.17.880 E039.01.49.800
N032.29.17.880 E039.01.49.800 N032.29.36.960 E039.03.09.720
N032.29.36.960 E039.03.09.720 N032.29.56.038 E039.04.29.638
N032.29.56.038 E039.04.29.638 N032.30.37.080 E039.04.59.160
N032.30.37.080 E039.04.59.160 N032.31.39.720 E039.04.38.280
N032.31.39.720 E039.04.38.280 N032.32.42.720 E039.04.17.400
N032.32.42.720 E039.04.17.400 N032.33.45.718 E039.03.56.518
N032.33.45.718 E039.03.56.518 N032.34.48.360 E039.03.35.638
N032.34.48.360 E039.03.35.638 N032.35.51.358 E039.03.14.758
N032.35.51.358 E039.03.14.758 N032.36.54.358 E039.02.53.879
N032.36.54.358 E039.02.53.879 N032.37.57.000 E039.02.32.999
N032.37.57.000 E039.02.32.999 N032.38.59.998 E039.02.12.120
N032.38.59.998 E039.02.12.120 N032.40.02.999 E039.01.51.240
N032.40.02.999 E039.01.51.240 N032.41.05.638 E039.01.30.360
N032.41.05.638 E039.01.30.360 N032.42.08.639 E039.01.09.480
N032.42.08.639 E039.01.09.480 N032.43.11.640 E039.00.48.600
N032.43.11.640 E039.00.48.600 N032.44.14.279 E039.00.27.359
N032.44.14.279 E039.00.27.359 N032.45.17.280 E039.00.06.480
N032.45.17.280 E039.00.06.480 N032.46.20.280 E038.59.45.600
N032.46.20.280 E038.59.45.600 N032.47.22.920 E038.59.24.720
N032.47.22.920 E038.59.24.720 N032.48.25.920 E038.59.03.479
N032.48.25.920 E038.59.03.479 N032.49.28.918 E038.58.42.599
N032.49.28.918 E038.58.42.599 N032.50.31.560 E038.58.21.720
N032.50.31.560 E038.58.21.720 N032.51.34.560 E038.58.00.478
N032.51.34.560 E038.58.00.478 N032.52.37.558 E038.57.39.598
N032.52.37.558 E038.57.39.598 N032.53.40.200 E038.57.18.360
N032.53.40.200 E038.57.18.360 N032.54.43.198 E038.56.57.480
N032.54.43.198 E038.56.57.480 N032.55.45.840 E038.56.36.239
N032.55.45.840 E038.56.36.239 N032.56.48.838 E038.56.15.360
N032.56.48.838 E038.56.15.360 N032.57.51.839 E038.55.54.480
N032.57.51.839 E038.55.54.480 N032.58.54.478 E038.55.33.238
N032.58.54.478 E038.55.33.238 N032.59.57.478 E038.55.12.000
N032.59.57.478 E038.55.12.000 N033.01.00.480 E038.54.51.120
N033.01.00.480 E038.54.51.120 N033.02.03.118 E038.54.29.879
N033.02.03.118 E038.54.29.879 N033.03.06.119 E038.54.09.000
N033.03.06.119 E038.54.09.000 N033.04.08.758 E038.53.47.758
N033.04.08.758 E038.53.47.758 N033.05.11.759 E038.53.26.520
N033.05.11.759 E038.53.26.520 N033.06.14.760 E038.53.05.640
N033.06.14.760 E038.53.05.640 N033.07.17.399 E038.52.44.399
N033.07.17.399 E038.52.44.399 N033.08.20.400 E038.52.23.160
N033.08.20.400 E038.52.23.160 N033.09.23.039 E038.52.01.919
N033.09.23.039 E038.52.01.919 N033.10.26.040 E038.51.41.040
N033.10.26.040 E038.51.41.040 N033.11.28.678 E038.51.19.798
N033.11.28.678 E038.51.19.798 N033.12.31.679 E038.50.58.560
N033.12.31.679 E038.50.58.560 N033.13.34.680 E038.50.37.318
N033.13.34.680 E038.50.37.318 N033.14.37.319 E038.50.16.080
N033.14.37.319 E038.50.16.080 N033.15.40.320 E038.49.54.839
N033.15.40.320 E038.49.54.839 N033.16.42.959 E038.49.33.600
N033.16.42.959 E038.49.33.600 N033.17.45.960 E038.49.12.718
N033.17.45.960 E038.49.12.718 N033.18.48.599 E038.48.51.480
N033.18.48.599 E038.48.51.480 N033.19.51.600 E038.48.30.238
N033.19.51.600 E038.48.30.238 N033.20.54.600 E038.48.09.000
N033.20.54.600 E038.48.09.000 N033.22.15.238 E038.47.41.638
N033.22.15.238 E038.47.41.638 N032.57.00.000 E038.00.00.000
N032.57.00.000 E038.00.00.000 N032.22.39.719 E036.55.55.920
N032.22.39.719 E036.55.55.920 N032.21.58.318 E036.54.45.720
N032.21.58.318 E036.54.45.720 N032.20.49.559 E036.53.03.480
N032.20.49.559 E036.53.03.480 N032.20.08.158 E036.52.03.718
N032.20.08.158 E036.52.03.718 N032.19.10.919 E036.50.41.640
N032.19.10.919 E036.50.41.640 N032.19.04.799 E036.49.15.960
N032.19.04.799 E036.49.15.960 N032.20.02.038 E036.44.27.598
N032.20.02.038 E036.44.27.598 N032.19.46.920 E036.43.14.520
N032.19.46.920 E036.43.14.520 N032.20.11.039 E036.42.05.758
N032.20.11.039 E036.42.05.758 N032.20.38.039 E036.40.47.998
N032.20.38.039 E036.40.47.998 N032.20.53.518 E036.38.15.358
N032.20.53.518 E036.38.15.358 N032.21.40.678 E036.30.15.839
N032.21.40.678 E036.30.15.839 N032.22.31.800 E036.29.00.240
N032.22.31.800 E036.29.00.240 N032.22.52.680 E036.27.24.480
N032.22.52.680 E036.27.24.480 N032.23.02.039 E036.25.45.479
N032.23.02.039 E036.25.45.479 N032.23.13.559 E036.24.30.240
N032.23.13.559 E036.24.30.240 N032.27.29.880 E036.19.17.039
N032.27.29.880 E036.19.17.039 N032.28.11.998 E036.18.17.640
N032.28.11.998 E036.18.17.640 N032.29.09.599 E036.16.38.279
N032.29.09.599 E036.16.38.279 N032.29.41.640 E036.15.35.640
N032.29.41.640 E036.15.35.640 N032.31.51.960 E036.11.58.918
N032.31.51.960 E036.11.58.918 N032.31.20.639 E036.10.54.838
N032.31.20.639 E036.10.54.838 N032.31.37.200 E036.09.47.160
N032.31.37.200 E036.09.47.160 N032.31.41.880 E036.07.57.359
N032.31.41.880 E036.07.57.359 N032.31.29.278 E036.06.27.720
N032.31.29.278 E036.06.27.720 N032.31.45.840 E036.05.24.720
N032.31.45.840 E036.05.24.720 N032.33.18.718 E036.04.49.080
N032.33.18.718 E036.04.49.080 N032.34.35.400 E036.04.09.840
N032.34.35.400 E036.04.09.840 N032.35.48.480 E036.03.00.360
N032.35.48.480 E036.03.00.360 N032.36.30.598 E036.02.07.440
N032.36.30.598 E036.02.07.440 N032.38.51.720 E036.02.12.478
N032.38.51.720 E036.02.12.478 N032.39.51.479 E036.01.15.959
N032.39.51.479 E036.01.15.959 N032.39.54.360 E035.59.08.879
N032.39.54.360 E035.59.08.879 N032.40.30.360 E035.58.01.918
N032.40.30.360 E035.58.01.918 N032.41.17.879 E035.58.42.240
N032.41.17.879 E035.58.42.240 N032.41.58.559 E035.57.52.920
N032.41.58.559 E035.57.52.920 N032.42.17.998 E035.56.42.000
N032.42.17.998 E035.56.42.000 N032.43.28.198 E035.56.03.839
N032.43.28.198 E035.56.03.839 N032.43.35.759 E035.54.37.078
N032.43.35.759 E035.54.37.078 N032.43.46.920 E035.53.24.359
N032.43.46.920 E035.53.24.359 N032.44.17.518 E035.51.39.960
N032.44.17.518 E035.51.39.960 N032.44.01.318 E035.50.13.200
N032.44.01.318 E035.50.13.200 N032.44.23.638 E035.48.45.718
N032.44.23.638 E035.48.45.718 N032.45.00.360 E035.48.11.160
N032.45.00.360 E035.48.11.160 N032.45.14.982 E035.47.06.586
N032.45.14.982 E035.47.06.586 N032.44.54.889 E035.46.48.280
N032.44.54.889 E035.46.48.280 N032.44.55.798 E035.45.33.432
N032.44.55.798 E035.45.33.432 N032.43.23.094 E035.43.50.053
N032.43.23.094 E035.43.50.053 N032.42.51.824 E035.41.42.604
N032.42.51.824 E035.41.42.604 N032.42.32.468 E035.41.11.871
N032.42.32.468 E035.41.11.871 N032.42.23.650 E035.40.42.007
N032.42.23.650 E035.40.42.007 N032.41.14.380 E035.40.19.646
N032.41.14.380 E035.40.19.646 N032.40.55.761 E035.39.36.487
N032.40.55.761 E035.39.36.487 N032.41.07.772 E035.39.12.503
N032.41.07.772 E035.39.12.503 N032.41.02.712 E035.38.38.787
N032.41.02.712 E035.38.38.787 N032.41.19.710 E035.37.50.240
N032.41.19.710 E035.37.50.240 N032.40.28.666 E035.36.18.621
N032.40.28.666 E035.36.18.621 N032.39.29.198 E035.36.09.555
N032.39.29.198 E035.36.09.555 N032.39.00.054 E035.33.50.867
N032.39.00.054 E035.33.50.867 N032.37.44.202 E035.33.37.793
N032.37.44.202 E035.33.37.793 N032.34.34.456 E035.34.15.638
N032.34.34.456 E035.34.15.638 N032.26.57.940 E035.33.40.659
N032.26.57.940 E035.33.40.659 N032.00.09.431 E035.31.56.819
N032.00.09.431 E035.31.56.819 N031.45.45.070 E035.33.36.430
N031.45.45.070 E035.33.36.430 N031.41.54.724 E035.31.22.971
N031.41.54.724 E035.31.22.971 N031.24.13.251 E035.27.52.330
N031.24.13.251 E035.27.52.330 N031.15.14.960 E035.24.09.091
N031.15.14.960 E035.24.09.091 N031.08.22.655 E035.27.38.982
N031.08.22.655 E035.27.38.982 N031.02.18.901 E035.25.15.172
N031.02.18.901 E035.25.15.172 N030.43.25.062 E035.17.06.088
N030.43.25.062 E035.17.06.088 N030.30.23.629 E035.11.57.763
N030.30.23.629 E035.11.57.763 N030.26.04.223 E035.09.18.169
N030.26.04.223 E035.09.18.169 N030.20.34.470 E035.10.53.202
N030.20.34.470 E035.10.53.202 N030.13.58.608 E035.08.18.616
N030.13.58.608 E035.08.18.616 N030.09.34.141 E035.09.58.753
N030.09.34.141 E035.09.58.753 N030.07.42.657 E035.09.49.560
N030.07.42.657 E035.09.49.560 N030.02.45.325 E035.06.11.963
N030.02.45.325 E035.06.11.963 N029.50.47.965 E035.04.22.001
N029.50.47.965 E035.04.22.001 N029.43.30.424 E035.01.23.653
N029.43.30.424 E035.01.23.653 N029.26.20.804 E034.56.13.858
N029.26.20.804 E034.56.13.858 N029.22.12.140 E034.55.07.316
N029.22.12.140 E034.55.07.316 N029.21.25.975 E034.57.43.049
